Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1868COMMA October 2COMMA to Lilly,1868-10-02,StorkCOMMA Anna B.COMMA b. 1862,hsc0039,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937;,F,0-10,CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; CopeCOMMA AlbanCOMMA 1864-1914,,Family;,,,,ink blots,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/755,755,43471717122002_hsc0039.cpd
1869 October 10COMMA to Muda,1869-10-10,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953,hsc0024,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,0-10,StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; StorkCOMMA Anna Brown CopeCOMMA b. 1862,Caroline (a reference to herself?),Child rearing; Education; Voyages and Travels,Newport (R.I.),Awbury (PhiladelphiaCOMMA Pa.); Germantown (PhiladelphiaCOMMA Pa.),,Caroline Cope Lewis would have been four years old when the letter was written.  Caroline probably dictated these words and someone (an older sibling or parent) wrote them down.   The letter is signed in a differentCOMMA weaker hand that is likely Caroline’s.<br><br>The date 10.10.1869 is written in pencil in another hand.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/758,758,4441717122002_hsc0024.cpd
1852 August 13COMMA New YorkCOMMA to Miss Cope,1852-08-13,CookCOMMA Benjamin A.,hsc0115,CopeCOMMA ClementineCOMMA 1835-1903,M,,CopeCOMMA ClementineCOMMA 1835-1903;,,Love-letters;  Courtship;,,New YorkCOMMA NY,,Benjamin Cook’s age at the time of writing the letter is  unknown.  The finding aid for MS Coll 1170 indicates that  the Miss Cope to whom the letter is written is Clementine  Cope.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/760,760,450241717122002_hsc0115.cpd
1910 October 30COMMA WilmingtonCOMMA DelawareCOMMA to Jonathan Evans,1910-10-30,RhoadsCOMMA Jonathan E. (Jonathan Evans)COMMA 1830-1914,hsc1017,EvansCOMMA JonathanCOMMA 1843-1911,M,70-80,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,Alfred Garrett,,,WilmingtonCOMMA (Del.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/761,761,450271717122002_hsc1017.cpd
1865 May 3COMMA BaltimoreCOMMA to Mother and Sisters,1865-05-03,CopeCOMMA ClementineCOMMA 1835-1903,hsc0004,CopeCOMMA Susan L. NewboldCOMMA 1805-1872,F,20-30,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; JeffriesCOMMA Lydia; ChestonCOMMA GallowayCOMMA 1806?-1881; ChestonCOMMA Margaret CareyCOMMA d. 1874; MatthewsCOMMA Susan; TysonCOMMA Jesse; WalkerCOMMA Sarah MillerCOMMA 1799-1874,M. Wilson; Judge Bond; Francis (possibly Clementine’s cousin Francis Reeve Cope or her cousin Francis Cope Yarnall); Mary/Cous. M (possibly Clementine’s cousin Mary Drinker Cope Haines or her cousin Mary Anna Cope Carter); Alice Murdock; Miss [Sarah?] Field,Clothing and dress; Quakers--Social life and customs; Needlework; Letter writing; Baltimore (Md.)--Social life and customs,Baltimore (Md.); Philadelphia (Pa.),Baltimore (Md.),Philadelphia (Pa.),1865 written in pencil at top right<br>parentheticalCOMMA in pencilCOMMA below: “(To all her Sarah now)”<br><br>Some significant portions of the letter are unreadable.<br><br>,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/762,762,450451717122002_hsc0004.cpd
1732 February 6COMMA Caln in Chester County in PensilvaniaCOMMA to Uncles Thomas & Joshua Pim,1732-02-06,PimCOMMA WilliamCOMMA 1692-1751,hsc0018,PimCOMMA ThomasCOMMA 1684-1769,M,40-50,PimCOMMA ThomasCOMMA 1721-1786; PimCOMMA JoshuaCOMMA 1686-1749; PimCOMMA JohnCOMMA 1688-1773; MendenhallCOMMA SarahCOMMA b. 1719,Jo. Gavin; Thomas McChur? and wife; William Glaiston; Ja. Nicholson,Child rearing;  Domestics; Family; Health; Quakers--Death ; Widowers; Bereavement--Religious aspects--Society of Friends; Smallpox; Textile industry,Caln (Pa. : Township); Chester County (Pa.); Laois (Ireland),Caln (Pa: Township); Chester County (Pa.),Mountrath (Ireland),Co. Laois lies in the ancient province of Leinster in IrelandCOMMA and is also known as Co. Leix or Queen’s Co.  The Dictionary of Quaker Biography lists Lacka House as the residenceCOMMA four miles outside the town of MountrathCOMMA of the   birthplace of William Pim and the home of his grandfatherCOMMA John Pim.  Mountrath was founded by Sir Charles Coote in the seventeenth centuryCOMMA who established a manufacturing and industrial center on his estate.  The town supported over  the years an ironworksCOMMA an oil millCOMMA two distilleriesCOMMA a breweryCOMMA a linen manufacturing businessCOMMA and a cotton spinning business.<br><br>The town of CalnCOMMA PACOMMA lies in Chester County and is named for CalneCOMMA WiltshireCOMMA EnglandCOMMA where many of the town’s original inhabitants emigrated from.  The meeting house in Caln dates from 1726.  A century after his emigrationCOMMA William Pim’s descendants remained in good standing in Caln.  In Eugene L. DiOrio’s Chester County: A Traveler’s Album (MarcelineCOMMA MO: Walsworth PublishingCOMMA 1980)COMMA Richard Pim is listed as a prominent landowner in 1837 who built a still-standing six-sided schoolhouse for his children.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/765,765,497461717122002_hsc0018.cpd
1840COMMA March 14COMMA ParisCOMMA to Rachel R. CopeCOMMA Philadelphia,1840-03-14,CorbitCOMMA Sarah B.,hsc0116,CopeCOMMA Rachel ReeveCOMMA 1794-1863,F,,CopeCOMMA HenryCOMMA 1793-1865; PleasantsCOMMA Caleb E. (Caleb Emlen)COMMA 1805-1842; ReeveCOMMA RuthCOMMA 1764-1845; LeedsCOMMA MarthaCOMMA 1810?-1888; PerotCOMMA Caroline R.COMMA b. 1825; OgdenCOMMA Emma CorbitCOMMA 1827-1874; CorbitCOMMA Henry C.,BoltonCOMMA Rachel (Scull) (Sarah’s mother/dates unknown); ReeveCOMMA Samuel (Sarah’s cousin/dates unknown); Richard and Ruth; Doctor Lowell; Aunt Margery,Boardinghouses; Americans--Foreign countries; Europe--Description and Travel; Family; Voyages and Travels; ArtCOMMA European; Quakers--Travel; London (England)--Description and Travel; Paris (France)--Description and Travel; Paris (France)--Social life and customs,London (England); Paris (France); Egypt; Palestine,Paris (France),Philadelphia (Pa.),Although the text of the letter indicates the letter was written in ParisCOMMA the postal information lists the sending address as Poland.<br>Notes penciled in another hand read: “3/14/1840 Sarah B. Corbit to her Cousin Rachel Cope. Supposedly mother of Caroline Perot & Emma Ogden.”<br>,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/766,766,513241717122002_hsc0116.cpd
1911 November 20COMMA Bridgewater CottageCOMMA HamptonCOMMA VaCOMMA to My very dear friends,1907-11-20,MorrisCOMMA Sibylla T.COMMA b. 1826,hsc0030,CopeCOMMA AnnetteCOMMA 1843-1916,F,80-90,CopeCOMMA ClementineCOMMA 1835-1903;        CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; SayneCOMMA Annie;,Minnie (Minnie could be Sibylla’s daughter Mary Cox Morris); Misses Biddle; Miss Walcott,Health;  Quakers--Death ; Deafness; Older people--Diseases; Railroads--Canada; Susquehanna County (Pa.)--History; Letter writing;,Hampton (Va.); Montrose (Susquehanna CountyCOMMA Pa.); Germantown (PhiladelphiaCOMMA Pa.); Sydney (N.S.); Virginia; Appomattox (Va.); Europe,Bridgewater CottageCOMMA HamptonCOMMA VA,Germantown (PhiladelphiaCOMMA Pa.),LC Conference Name: Jamestown Ter-centennial Exposition            (1907).  (I’m fairly certain this is the event Sibylla            refers to in the letter...I can’t think what else it might            be.)<br><br>Link to scanned map of Philadelphia to locate 1            Walnut St.<br><br>SydneyCOMMA Nova ScotiaCOMMA is located on the            island of Cape Breton.  Known as “the Steel CityCOMMA” Sydney is            the third largest city in the province of Nova Scotia and is            home to the Dominion Steel and Coal Company.  A number of            railway lines travel through Sydney.<br><br>“Both girls” who            join Sibylla in greeting the Cope sisters are Sibylla’s two            daughters Annie Sayne and Mary Morris.  Her two sons working            on the railroads are Frederick Cox Morris and Caleb Carmalt            Morris.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/767,767,51341717122002_hsc0030.cpd
1841 AprilCOMMA to FrankCOMMA Philada.,1841-04,TaberCOMMA CharlesCOMMA 1822-1887,hsc0054,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,10-20,CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA HenryCOMMA 1793-1865; LambCOMMA CharlesCOMMA 1775-1834; HartshorneCOMMA HenryCOMMA 1823-1897,Dun StuartCOMMA Fanny Ell---,American poetry--Quaker authors; Classical literature; Quotations in literature; Quakers--Humor; Letter writing; Newport (R.I.)--Description and Travel,Philadelphia (Pa.); Providence (R.I.); Newport (R.I.);,New Bedford (Mass.),Philadelphia (Pa.),Throughout the letter the author quotes liberally from other writers and sources.  A partial list of identifications follows.<br>“greatness sympathises with greatness”: essayist William HazlittCOMMA “The Indian Judges”<br>“you can’t get a  barrel of praties into a bushel basket”: aphorismCOMMA origin unknown<br>“some are born to greatnessCOMMA some achieve greatnessCOMMA and some have greatness thrust upon them”: William ShakespeareCOMMA Twelfth Night <br>“Tantaene animis coelestibus irae?” [In heavenly minds can such resentments  dwell?]: VirgilCOMMA The Aeneid<br>“Memory is mortal forgiveness divine” [this is perhaps a restatement of “To err is humanCOMMA to forgive divine”]: Alexander PopeCOMMA “Essay on Criticism”<br>The Biblical admonition to “turn the other cheek” may be found in Matthew 5:38-40.<br>“cold obstruction” [in reference to death]: William ShakespeareCOMMA Measure for Measure<br>“Wellerism” [“a form of comparison in which a familiar saying or proverb is identified with what was said by someone in a specified but humorously inapposite situation” : from characters in Charles DickensCOMMA Pickwick  Papers (definition from Oxford English Dictionary)<br>“No man is a hero to his valet-de-chambre”: Marshal Catinat or Madame de Corneul<br><br>The watermark is as follows:<br>J Whitman<br>Turkey Mill<br>1839<br><br>On the last page of  the letterCOMMA the following text is written in pencilCOMMA in another handCOMMA probably that of E.S.C.: 2 letters of Chas. Tabor to Francis R. Cope - 1841 (F.R.C. aged 20 - C.T. about same age - ) C.T. had published in “L’Entreprise”COMMA a seranade written by F.R.C.  When advised of the theft F.R.C. sends another poem entitled the “Thief.”<br><br>For a description of many of the geographic locations mentioned in the letterCOMMA see Newport and How to See It (Newport: Davis & PitmanCOMMA 1869).<br><br>A “fippenny bit” is a corruption of “five-penny bitCOMMA” a Spanish coin worth half a real or 6.25 cents.  It was called fourpence in New EnglandCOMMA fip in PennsylvaniaCOMMA sixpence in New YorkCOMMA and a picayune in Louisiana. (Webster’s Dictionary),English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/768,768,51381717122002_hsc0054.cpd
1910 November 1COMMA WilmingtonCOMMA DelawareCOMMA to Jonathan Evans,1910-11-01,RhoadsCOMMA Jonathan E. (Jonathan Evans)COMMA 1830-1914,hsc1018,EvansCOMMA JonathanCOMMA 1843-1911,M,70-80,,,Westtown Boarding School;  Haverford College--Students; Faith; Bible--N.T.,,WilmingtonCOMMA (Del. ),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/770,770,528271717122002_hsc1018.cpd
1844 September 26COMMA PhiladelphiaCOMMA to Thomas P. Cope,1844-09-26,IngersollCOMMA Joseph R. (Joseph Reed)COMMA 1786-1868;,hsc1005,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854;,M,,ThomasCOMMA Joseph M.; WetherillCOMMA John Price;,John Price WetherillCOMMA Joseph M. ThomasCOMMA Thomas P. Cope Esq.,Transportation;,Philadelphia (Pa.),Philadelphia (Pa.),Philadelphia (Pa. ),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/772,772,544261717122002_hsc1005.cpd
1863 December 11COMMA AwburyCOMMA to Cousin Clementine,1863-12-11,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,hsc0102,CopeCOMMA ClementineCOMMA 1835-1903,F,10-20,CopeCOMMA ClementineCOMMA 1835-1903; CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; HainesCOMMA Mary RhoadsCOMMA 1819-1905; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; HainesCOMMA ReubenCOMMA 1851-1920; StokesCOMMA Tom (Thomas Pym Cope)COMMA 1843-1918; WarnerCOMMA YardleyCOMMA 1815?-1885;,,Education; Youth in church work; Outdoor recreation; Sports; Community life,Awbury (PhiladelphiaCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/773,773,559131717122002_hsc0102.cpd
1865 November 18COMMA Locust ShadeCOMMA to Ruthanna Cope,1865-11-18,ReeveCOMMA Susan S.COMMA 1833-1866;,hsc0060,CopeCOMMA RuthannaCOMMA 1834-1879;,F,30-40,CopeCOMMA ClementineCOMMA 1835-1903; ReeveCOMMA Julia K.; BrownCOMMA Elizabeth H.COMMA b. 1840?,Cousin Eliza; George B. Wood; Mary Ann Morris; Lizzie[Susan’s daughter]; John andSallie Hilles;,Family;  Health; Education;,Germantown (PhiladelphiaCOMMA Pa.); Newport (R.I.); Baltimore (Md.),Locust Shade,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/774,774,575111717122002_hsc0060.cpd
1857 June 17COMMA New YorkCOMMA to Anne,1857-06-17,LeedsCOMMA MarthaCOMMA 1810?-1888,hsc0019,CopeCOMMA RuthannaCOMMA 1834-1879,F,40-50,CopeCOMMA Rachel ReeveCOMMA 1794-1863; PleasantsCOMMA Laura; ReeveCOMMA Julia K.; SmileyCOMMA Eliza; KingCOMMA John AlsopCOMMA 1788-1867; DowningCOMMA JacobCOMMA 1756-1823; DowningCOMMA Joseph R.COMMA 1765-1855; LeggettCOMMA Frances VauxCOMMA 1797?-1876; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; WoodCOMMA FernandoCOMMA 1812-1881; SmileyCOMMA Albert K. (Albert Keith)COMMA 1828-1912; RobinsonCOMMA SolonCOMMA 1803-1880; LeggettCOMMA Thomas HaightCOMMA 1787-1867; LeedsCOMMA BarclayCOMMA 1834-1918; LeedsCOMMA Lewis W. (Lewis Walker) ca. 1827-1896; LeggettCOMMA HannahCOMMA 1833-1910,WilliamCOMMA RebeccaCOMMA FatherCOMMA AmeliaCOMMA HannahCOMMA NealieCOMMA Martha(their cook)COMMA General (Charles W.) SandfordCOMMA J. L. Woodward and wife,Railroad travel;  Women domestics; Self-careCOMMA Health; Traditional medicine; Health; Riots; Death; Poverty; Police;,New York (N.Y.); Perth Amboy (N.J.); Trenton (N.J.); New Orleans (La.); Chicago (Ill.); Mississippi River; Awbury (PhiladelphiaCOMMA Pa.),New YorkCOMMA NY,PhiladelphiaCOMMA PA,"Author mentions Stewart’sCOMMA one of the first department storesCOMMA located at 280 BroadwayCOMMA New York (N.Y.). Known as the ""Marble Palace"" for its stone pillarsCOMMA this new concept helped make shopping fashionable for wealthy  women.    <br><br>  Fernando Wood served nine intermittent terms in CongressCOMMA beginning in 1841COMMA and three terms as Mayor of New York City. The riots that Martha writes about in this letter stem from rival  gubernatorial and mayoral appointments to replace the New York City Street Commissioner.  (For an in-depth look at this crisisCOMMA see Jerome MushkatCOMMA Ch. 5COMMA “The Political MayorCOMMA” in Fernando Wood: A Political Biography (KentCOMMA OH: Kent State University PressCOMMA  1990)).<br><br>Solon Robinson's ""Hot   Corn” vignettes of city life among the impoverished and immigrant communities were later collected in a bookCOMMA entitled “Hot Corn StoriesCOMMA” which must have been known to Martha and to Anne either in serial or book form.<br><br>The “little Katy” mentioned in the letter may not refer to a family member but rather to the title character of one of Robinson’s stories.  HoweverCOMMA hsc0022 mentions a girl named Katy staying with the Leeds family.<br><br>Dictionary defines collodion as “a solution of gun-cotton in etherCOMMA forming a colourles gummy liquidCOMMA which dries rapidly  in the airCOMMA owing to evaporation of the ether.”  Collodion was used in photography to cover glass plates as well as in medicine to cover wounds.<br><br>Tarleton muslin is a stiffCOMMA  lightweightCOMMA finely woven cotton fabric.",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/775,775,575461717122002_hsc0019.cpd
1878 July 6COMMA NewportCOMMA to Clemmy,1878-07-06,RoseCOMMA Emily,hsc0031,CopeCOMMA ClementineCOMMA 1835-1903,F,,StevensCOMMA Martha Bayard;,Emily RoseCOMMA author. Also unidentified: Aunt of Emily Rose;   cousin of Emily Rose; gentleman who founded the New York   College of Physiatry and Surgery; his wife; Mrs. HighbeeCOMMA   her sister; D. Lathrop of Montrose; Miss Walker; Dr. and   Mrs. Parker; Mary PowellCOMMA and Mrs. Yoffee,Voyages and Travels;  Weddings; Newport (R.I.)--Description   and Voyages and Travels; Inheritance and succession; Rental housing;,Montrose (Susquehanna CountyCOMMA Pa.); Newport (R.I.); Europe; New York (N.Y.),NewportCOMMA RI,Connymeade?,No postal information appears on the letter; the   supplementary index to the finding aid for the collection   lists Connymeade as the destination.<br><br>“The” Avenue   that Emily refers to in the letter is likely Bellevue   AvenueCOMMA one of the main thoroughfares of Newport.  From   Newport and How to See It (Newport: Davis & PitmanCOMMA 1869).    A map of Newport and several of the buildings mentioned in   the letterCOMMA including the building standing on the corner of   Bellevue and BerkleyCOMMA from which Emily wrote this letterCOMMA   may be found on p. 217 of John Sterngrass’ First Resorts.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/777,777,59141717122002_hsc0031.cpd
1865 May 27COMMA Locust ShadeCOMMA to Annie,1865-05-27,ReeveCOMMA Susan S.COMMA 1833-1866,hsc0203,CopeCOMMA RuthannaCOMMA 1834-1879,F,30-40,CopeCOMMA ClementineCOMMA 1835-1903; JohnsonCOMMA AndrewCOMMA 1808-1875; SmithCOMMA Daniel B.COMMA 1792-1883; ThomasCOMMA Deborah C. 1817-1889;,Jeff; Bettie; Uncle John & Aunt R. Smith;cos Lizzie; Richard Howland; Lilly and Philip;,Letter writing;  Ocean Voyages and Travels; LincolnCOMMA AbrahamCOMMA 1809-1865--Assassination;,Germantown (PhiladelphiaCOMMA Pa.);,Locust Shade,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/778,778,59261717122002_hsc0203.cpd
1862 August 7COMMA Scranton PaCOMMA to Alfred Cope Esq,1862-08-07,DrinkerCOMMA Charles M.,hsc0117,CopeCOMMA AlfredCOMMA 1806-1875,M,,CopeCOMMA AlfredCOMMA 1806-1875;,,Military serviceCOMMA Voluntary;  Military history; Recruiting   and enlistment; United States--History--Civil WarCOMMA   1861-1865; Family;,,Scranton(Pa.),,Further information about Charles M. Drinker and his family   is unavailable in Haverford’s archives.  <br><br>On the   reverse side of the letter is written: C M Drinker 8/62,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/779,779,606241717122002_hsc0117.cpd
1908 December 10COMMA GermantownCOMMA To Rachel C. Evans,1908-12-10,RhoadsCOMMA Sarah W.,hsc1019,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,,,,Group decision making--Religious aspects--Society of Friends,,Germantown (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/780,780,606271717122002_hsc1019.cpd
